lat,lon,fecha_actual,mes_pronostico,valor,variable
-32.0,-61.0,2025-12-01,6,78.48,precipitacion_acumulada
-32.0,-60.0,2025-12-01,1,111.28,precipitacion_acumulada
-32.0,-60.0,2025-12-01,2,96.75,precipitacion_acumulada
-32.0,-60.0,2025-12-01,3,120.07,precipitacion_acumulada
-32.0,-60.0,2025-12-01,4,121.46,precipitacion_acumulada
-32.0,-60.0,2025-12-01,5,109.28,precipitacion_acumulada
-32.0,-60.0,2025-12-01,6,92.76,precipitacion_acumulada
-32.0,-59.0,2025-12-01,1,104.36,precipitacion_acumulada
-32.0,-59.0,2025-12-01,2,102.39,precipitacion_acumulada
-32.0,-59.0,2025-12-01,3,120.99,precipitacion_acumulada
-32.0,-59.0,2025-12-01,4,125.23,precipitacion_acumulada
-32.0,-59.0,2025-12-01,5,111.95,precipitacion_acumulada
-32.0,-59.0,2025-12-01,6,102.3,precipitacion_acumulada
-32.0,-58.0,2025-12-01,1,97.08,precipitacion_acumulada
-32.0,-58.0,2025-12-01,2,109.49,precipitacion_acumulada
-32.0,-58.0,2025-12-01,3,126.15,precipitacion_acumulada
-32.0,-58.0,2025-12-01,4,128.59,precipitacion_acumulada
-32.0,-58.0,2025-12-01,5,117.57,precipitacion_acumulada
